id,section,status,claim_truncated,source_file,source_exists,carried_by,derived_from,derived_from_ok,superseded_by,superseded_by_ok,pinned_by_test,test_exists,has_floor
C-RWV-05,P2C,VERIFIED,The two coding scheme warnings on Real World Value Mappi ...,results/phase2/adjudication_rwv_kos.csv,yes,,,,,,tests/test_adjudicate_rwv_kos.py::test_every_message_class_is_adjudicated,yes,yes
C-RWV-06,P2C,VERIFIED,"The dciodvfy DICOMDIR warning, raised on every object of ...",results/phase2/adjudication_rwv_kos.csv,yes,,,,,,tests/test_adjudicate_rwv_kos.py::test_every_message_class_is_adjudicated,yes,yes
C-RWV-07,P2C,VERIFIED,The Retired Person Name form warning is a plausibility c ...,results/phase2/adjudication_rwv_kos.csv,yes,,,,,,tests/test_adjudicate_rwv_kos.py::test_every_message_class_is_adjudicated,yes,yes
C-KOS-01,P2C,MEASURED,Every Key Object Selection Document object in IDC v24 ca ...,results/phase2/net_rates_rwv_kos.md,yes,,"P2C-02,P2C-03",yes,,,tests/test_adjudicate_rwv_kos.py::test_the_triples_are_pinned,yes,yes
C-KOS-02,P2C,MEASURED,dicom-validator reaches the same net finding on the same ...,results/phase2/net_rates_rwv_kos.md,yes,,P2C-02,yes,,,tests/test_adjudicate_rwv_kos.py::test_the_triples_are_pinned,yes,yes
C-KOS-03,P2C,MEASURED,Key Object Selection Document Storage has no net warning ...,results/phase2/net_rates_rwv_kos.md,yes,,P2C-02,yes,,,tests/test_adjudicate_rwv_kos.py::test_the_triples_are_pinned,yes,yes
C-KOS-04,P2C,VERIFIED,"Manufacturer (0008,0070) is Type 2 in the General Equipm ...",results/phase2/adjudication_rwv_kos.csv,yes,,,,,,tests/test_adjudicate_rwv_kos.py::test_no_net_without_a_section_and_a_table,yes,yes
C-RWV-08,P2C,DERIVED,Real World Value Mapping Storage does not meet the PRE-0 ...,results/phase2/net_rates_rwv_kos.md,yes,,"C-RWV-01,C-RWV-03,C-RWV-04,PRE-05",yes,,,tests/test_adjudicate_rwv_kos.py::test_pre05_inputs_are_pinned,yes,yes
C-KOS-05,P2C,DERIVED,Key Object Selection Document Storage meets the PRE-05 t ...,results/phase2/net_rates_rwv_kos.md,yes,,"C-KOS-01,C-KOS-02,C-KOS-04,PRE-05",yes,,,tests/test_adjudicate_rwv_kos.py::test_pre05_inputs_are_pinned,yes,yes
D-01,P2D,MEASURED,dcmpschk passes every Grayscale Softcopy Presentation St ...,results/phase2/gsps_dcmpschk.csv,yes,results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,,,,,tests/test_gsps_dcmpschk.py::test_pass_count_is_pinned,yes,yes
D-02,P2D,MEASURED,The census recorded a dcmpschk pass as a warning class o ...,results/phase2/census_message_classes.csv,yes,,D-01,yes,,,tests/test_gsps_dcmpschk.py::test_pass_line_is_never_a_finding,yes,yes
D-03,P2D,MEASURED,"dcmpschk's banner line names its input file, and counted ...",results/phase2/gsps_dcmpschk.csv,yes,,D-02,yes,,,tests/test_gsps_dcmpschk.py::test_banner_is_not_a_finding,yes,yes
D-04,P2D,MEASURED,On the same GSPS objects the three validators do not agr ...,"results/phase2/gsps_dcmpschk.csv, results/phase2/census_message_classes.csv",yes,results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,D-01,yes,,,tests/test_gsps_dcmpschk.py::test_cross_validator_direction,yes,yes
E-01,V,MEASURED,Segmentation Storage partitions into 21 strata by writin ...,results/phase0/seg_strata.csv,yes,,,,,,tests/test_sample.py::test_strata_partition,yes,yes
E-02,V,DERIVED,The registered minimum of n = 384 is carried from PRE-05 ...,results/pre06_sampling_frame.md,yes,,PRE-05,yes,,,tests/test_sample.py::test_registered_n_properties,yes,yes
E-03,V,MEASURED,The stratification absorbs the C3-12 provenance clusteri ...,results/phase0/seg_icc_proxies.csv,yes,,C3-12,yes,,,tests/test_sample.py::test_planning_icc,yes,yes
E-04,V,DERIVED,A post-floor failure rate is not defined for every strat ...,results/pre06_sampling_frame.md,yes,,"F1-01, F1-02, PRE-05, W-01",yes,,,tests/test_sample.py::test_floor_coverage,yes,yes
E-05,V,DERIVED,One stratum cannot be given the registered minimum insid ...,results/pre06_sampling_frame.md,yes,,"PRE-05, P0-03",yes,,,tests/test_sample.py::test_every_stratum_has_a_rule,yes,yes
E-06,V,DERIVED,Under the measured planning correlation the effective sa ...,results/pre06_sampling_frame.md,yes,,"C3-12, C3-13, E-03",yes,,,tests/test_sample.py::test_clustering_dominates,yes,yes
E-07,V,MEASURED,No draw and no fetch has occurred. The frame is fenced i ...,colophon/sample.py,yes,,,,,,tests/test_sample.py::test_execute_guard_blocks_a_draw,yes,yes
F2-01,F2,MEASURED,The writer census recomputed from what the census read o ...,results/manuscript/table1_writers.csv and results/manuscript/table1_writers.md,yes,,W-01,yes,,,tests/test_tables.py::test_object_counts_match_the_census,yes,yes
F2-02,F2,MEASURED,Opening the files attributes a writer to the large major ...,results/manuscript/table1_writers.csv and results/manuscript/table1_writers.md,yes,,W-01,yes,,,tests/test_tables.py::test_no_incomplete_class_in_table1,yes,yes
F2-03,F2,MEASURED,"Where both carriers name a toolkit, they disagree about ...",results/manuscript/table1_writers.csv and results/manuscript/table1_writers.md,yes,,P2P-08,yes,,,tests/test_tables.py::test_disagreement_rests_on_a_registered_expectation,yes,yes
F2-04,F2,MEASURED,One file-meta implementation identity carries several di ...,results/manuscript/table1_writers.csv and results/manuscript/table1_writers.md,yes,,,,,,tests/test_tables.py::test_identity_spread_is_reported,yes,yes
F2-05,F2,MEASURED,"The Phase 1 floor set, presented per writer, per validat ...",results/manuscript/table2_floor_set.csv and results/manuscript/table2_floor_set.md,yes,,"F1-01, F1-04",yes,,,tests/test_tables.py::test_single_writer_cells_are_marked,yes,yes
F2-06,F2,MEASURED,"The SEG BINARY overlap under dicom-validator, recomputed ...",results/manuscript/table2_floor_set.csv and results/manuscript/table2_floor_set.md,yes,,"F1-03, F1-10",yes,,,tests/test_tables.py::test_seg_binary_jaccard_is_the_corrected_value,yes,yes
F2-07,F2,MEASURED,Part of the Phase 1 fixture floor is drawn by corpus obj ...,results/manuscript/table2_floor_set.csv and results/manuscript/table2_floor_set.md,yes,,"F1-01, P2C-02",yes,,,tests/test_tables.py::test_corpus_context_is_bounded,yes,yes
F2-08,F2,MEASURED,"Table 1 covers only SOP classes the census has finished, ...",results/manuscript/table1_writers.csv and results/manuscript/table1_writers.md,yes,,,,,,tests/test_tables.py::test_no_incomplete_class_in_table1,yes,yes
F2-09,F2,MEASURED,The census records file was read while a census was appe ...,results/manuscript/table1_writers.csv and results/manuscript/table1_writers.md,yes,,,,,,tests/test_tables.py::test_scan_reports_skipped_lines,yes,yes
F2-10,F2,MEASURED,The equipment-attribute rule attributes objects to QIICR ...,results/manuscript/table1_writers.csv and results/manuscript/table1_writers.md,yes,,W-01,yes,,,tests/test_tables.py::test_equipment_rule_is_reused_verbatim,yes,yes
F3-01,F3,MEASURED,Every claim in the ledger is mapped to its row and to th ...,results/claims_map.csv and results/claims_map.md,yes,,,,,,tests/test_claims_map.py::test_every_ledger_row_is_mapped,yes,yes
F3-02,F3,MEASURED,"Orphan claims, meaning ledger rows with no artefact behi ...",results/claims_map.csv and results/claims_map.md,yes,,F3-01,yes,,,tests/test_claims_map.py::test_orphans_are_reported_not_hidden,yes,yes
F3-03,F3,MEASURED,"Uncited artefacts, meaning files under results/ that no ...",results/claims_map.csv and results/claims_map.md,yes,,F3-01,yes,,,tests/test_claims_map.py::test_uncited_artefacts_are_reported,yes,yes
F3-04,F3,MEASURED,Every derived_from reference in the ledger resolves to a ...,results/claims_map.csv and results/claims_map.md,yes,,F3-01,yes,,,tests/test_claims_map.py::test_no_broken_derivations,yes,yes
F3-05,F3,MEASURED,"Every retired claim keeps its reason, and the chain from ...",results/claims_map.csv and results/claims_map.md,yes,,F3-01,yes,,,tests/test_claims_map.py::test_retired_rows_keep_a_reason,yes,yes
F3-06,F3,MEASURED,Pre-registration rows and whether an outcome has been re ...,results/claims_map.csv and results/claims_map.md,yes,,F3-01,yes,,,tests/test_claims_map.py::test_pre_rows_are_reported_unchanged,yes,yes
F3-07,F3,MEASURED,"Floor coverage: which MEASURED rows quote a rate, and wh ...",results/claims_map.csv and results/claims_map.md,yes,,F3-01,yes,,,tests/test_claims_map.py::test_floor_rule_is_the_ledgers_own,yes,yes
F3-08,F3,MEASURED,Test coverage of the ledger: which rows name a pinning t ...,results/claims_map.csv and results/claims_map.md,yes,,F3-01,yes,,,tests/test_claims_map.py::test_named_tests_exist,yes,yes
G1-01,G1,LITERATURE,A recheck on 2026-08-02 located nothing published on or ...,results/prior_art_recheck.md,yes,,PA-01,yes,,,,,yes
G1-02,G1,LITERATURE,No prior description was located of Key Object Selection ...,results/prior_art_recheck.md,yes,,"P2C-02,G1-03",yes,,,,,yes
G1-03,G1,VERIFIED,The General Equipment module is Mandatory in the Key Obj ...,results/prior_art_recheck.md,yes,,,,,,,,yes
G1-04,G1,LITERATURE,The dciodvfy check that fires on Referenced Frame Number ...,results/prior_art_recheck.md,yes,,P2C-02,yes,,,,,yes
G1-05,G1,LITERATURE,"The underlying encoding defect behind finding (b), Refer ...",results/prior_art_recheck.md,yes,,G1-04,yes,,,,,yes
G1-06,G1,PENDING,dciodvfy emits two different wordings for the same Refer ...,results/prior_art_recheck.md,yes,,G1-04,yes,,,,,yes
G1-07,G1,LITERATURE,"Finding (c), Laterality (0020,0060) reported as an Error ...",results/prior_art_recheck.md,yes,,"P2C-02,PA-06",yes,,,,,yes
G1-08,G1,LITERATURE,The dciodvfy author frames the Laterality behaviour as d ...,results/prior_art_recheck.md,yes,,G1-07,yes,,,,,yes
G1-09,G1,PENDING,Three source classes that could falsify a novelty claim ...,results/prior_art_recheck.md,yes,,"PA-07,G1-02,G1-05",yes,,,,,yes
G1-10,G1,PENDING,The prior art recheck must be re-run at a useful interva ...,results/prior_art_recheck.md,yes,,G1-01,yes,,,,,yes
G2-01,G2,MEASURED,The prior-art search is reported against the 16 PRISMA-S ...,results/prisma_s_appendix.md and results/prisma_s_rows.csv,yes,,PA-01,yes,,,tests/test_prisma.py::test_prisma_s_items_are_all_answered,yes,yes
G2-02,G2,MEASURED,"Most recorded queries carry no hit count, so their count ...",results/prisma_s_appendix.md and results/prisma_s_rows.csv,yes,,PA-01,yes,,,tests/test_prisma.py::test_no_row_claims_an_uncaptured_hit_count,yes,yes
G2-03,G2,MEASURED,Stated as a rule: a negative prior-art claim is auditabl ...,results/prisma_s_appendix.md and results/prisma_s_rows.csv,yes,,PA-01,yes,,,tests/test_prisma.py::test_the_auditability_rule_is_stated_and_applied,yes,yes
G2-04,G2,MEASURED,Hit counts from general web search are not reproducible ...,results/prisma_s_appendix.md and results/prisma_s_rows.csv,yes,,PA-01,yes,,,tests/test_prisma.py::test_web_search_rows_never_state_a_hit_count,yes,yes
G2-05,G2,MEASURED,The existing search record cannot fill a defined set of ...,results/prisma_s_appendix.md and results/prisma_s_rows.csv,yes,,PA-01,yes,,,tests/test_prisma.py::test_every_gap_reaches_the_appendix,yes,yes
G2-06,G2,MEASURED,Most included records have no entry in the recorded retr ...,results/prisma_s_appendix.md and results/prisma_s_rows.csv,yes,,PA-01,yes,,,tests/test_prisma.py::test_included_records_are_checked_against_the_retrieval_log,yes,yes
G2-07,G2,MEASURED,"No repository, issue tracker or documentation site was s ...",results/prisma_s_appendix.md and results/prisma_s_rows.csv,yes,,"PA-01,PA-08,PA-09",yes,,,tests/test_prisma.py::test_grey_literature_is_reported_as_unsystematic,yes,yes
G3-01,G3,VERIFIED,The IHE AIR Rev 1.3 PDF at the pinned URL is byte identi ...,results/ihe_air_table.md,yes,,,,,,tests/test_standards.py::test_air_is_normative_and_tested,yes,yes
G3-02,G3,VERIFIED,Table 6.5.3.1-1 on printed page 82 has four columns and ...,results/ihe_air_table.md,yes,,G3-01,yes,,,tests/test_standards.py::test_air_table_6531_1_is_a_map_not_a_requirement,yes,yes
G3-03,G3,VERIFIED,Table 6.5.3.1-1 imposes no requirement of its own. It is ...,results/ihe_air_table.md,yes,,"G3-01,G3-02",yes,,,tests/test_standards.py::test_air_table_6531_1_is_a_map_not_a_requirement,yes,yes
G3-04,G3,DERIVED,Table 6.5.3.1-1 adds no requirement beyond the unconditi ...,results/ihe_air_table.md,yes,,"G3-03,STD-03,STD-04,STD-06",yes,,,tests/test_standards.py::test_air_table_6531_1_is_a_map_not_a_requirement,yes,yes
G3-05,G3,VERIFIED,"The four column grid of Table 6.5.3.1-1, previously reco ...",results/ihe_air_table.md,yes,,G3-01,yes,,,tests/test_standards.py::test_air_table_6531_1_is_a_map_not_a_requirement,yes,yes
F1-M-01,F1M,MEASURED,A Methods section for the Journal of Imaging Informatics ...,results/manuscript/methods.md,yes,,F1-M-02,yes,,,,,yes
F1-M-02,F1M,DERIVED,The Methods draft consumes and cites by id the ledger ro ...,results/manuscript/methods.md,yes,,"C-GSPS-11,C3-04,C3-12,C3-13,C3-14,C3-15,D-02,F1-01,F1-02,F1-03,F1-06,F1-07,F1-08,F1-09,F1-10,F2-01,P0-01,P0-02,P0-04,P0-05,P0-09,P0-10,P0-11,P0-12,P2C-01,P2C-02,P2C-03,P2C-04,P2P-03,P2P-04,P2P-07,PA-08,PRE-01,PRE-02,PRE-03,PRE-04,PRE-05,PRE-06,PRE-07,STD-04,STD-05,STD-06,V-01,V-02,V-03,V-04,V-05,V-06,V-07,V-08,V-09,V-10,W-01,W-04",yes,,,,,yes
F1-M-03,F1M,PENDING,Three figures the Methods section would use for reproduc ...,results/manuscript/methods.md,yes,,P2C-01,yes,,,,,yes
F1-M-04,F1M,PENDING,Ledger row V-09 states in its claim text that four tools ...,results/panel.json,yes,,V-09,yes,,,,,yes
F4-01,F4M,MEASURED,Census completeness was recounted directly from the cens ...,results/manuscript/results.md,yes,,"P2C-01,F2-08,F2-09",yes,,,tests/test_results_doc.py::test_no_partial_class_carries_a_rate,yes,yes
F4-02,F4M,MEASURED,Comprehensive 3D SR Storage is complete in the census an ...,results/manuscript/results.md,yes,,"F4-01,P2C-01,P2C-02",yes,,,tests/test_results_doc.py::test_unadjudicated_class_carries_no_rate,yes,yes
F4-03,F4M,MEASURED,A Results section is drafted at results/manuscript/resul ...,results/manuscript/results.md,yes,,"F4-01,F4-02,F4-04",yes,,,tests/test_results_doc.py::test_every_number_in_the_results_draft_is_backed,yes,yes
F4-04,F4M,DERIVED,The Results draft consumes and cites by id the ledger ro ...,results/manuscript/results.md,yes,,F4-03,yes,,,,,yes
F4-05,F4M,MEASURED,The rule that a partial class must not be reported with ...,tests/test_results_doc.py,yes,,"P2C-01,F4-01,F4-02",yes,,,tests/test_results_doc.py::test_the_guard_can_fail,yes,yes
C-C3D-01,C-C3D,VERIFIED,"Clinical Trial Site Name (0012,0031) and Clinical Trial ...",results/phase2/adjudication_comprehensive_3d_sr.csv and results/phase2/net_rates_comprehensive_3d_sr.md,yes,results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,,,,,,,yes
C-C3D-02,C-C3D,VERIFIED,"De-identification Method (0012,0063) and De-identificati ...",results/phase2/adjudication_comprehensive_3d_sr.csv and results/phase2/net_rates_comprehensive_3d_sr.md,yes,results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,,,,,,,yes
C-C3D-03,C-C3D,VERIFIED,A Referenced Study Sequence Item without Referenced SOP ...,results/phase2/adjudication_comprehensive_3d_sr.csv and results/phase2/net_rates_comprehensive_3d_sr.md,yes,results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,,,,,,,yes
C-C3D-04,C-C3D,VERIFIED,"Ethnic Group (0010,2160) present in a 2026c object is a ...",results/phase2/adjudication_comprehensive_3d_sr.csv and results/phase2/net_rates_comprehensive_3d_sr.md,yes,,,,,,,,yes
C-C3D-05,C-C3D,VERIFIED,"Procedure Code Sequence (0008,1032) present with zero It ...",results/phase2/adjudication_comprehensive_3d_sr.csv and results/phase2/net_rates_comprehensive_3d_sr.md,yes,,,,,,,,yes
C-C3D-06,C-C3D,MEASURED,"dciodvfy error triple for Comprehensive 3D SR Storage, a ...",results/phase2/adjudication_comprehensive_3d_sr.csv and results/phase2/net_rates_comprehensive_3d_sr.md,yes,results/manuscript/results.md;results/manuscript/tables.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md,"C-C3D-01,C-C3D-02,C-C3D-03,C-C3D-05",yes,,,,,yes
C-C3D-07,C-C3D,MEASURED,"dciodvfy warning triple for Comprehensive 3D SR Storage, ...",results/phase2/adjudication_comprehensive_3d_sr.csv and results/phase2/net_rates_comprehensive_3d_sr.md,yes,,C-C3D-06,yes,,,,,yes
C-C3D-08,C-C3D,MEASURED,dicom-validator error triple for Comprehensive 3D SR Sto ...,results/phase2/adjudication_comprehensive_3d_sr.csv and results/phase2/net_rates_comprehensive_3d_sr.md,yes,results/manuscript/results.md;results/manuscript/tables.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md,"C-C3D-01,C-C3D-02,C-C3D-03,C-C3D-04",yes,,,,,yes
C-C3D-09,C-C3D,MEASURED,Net rate across both validators for Comprehensive 3D SR ...,results/phase2/adjudication_comprehensive_3d_sr.csv and results/phase2/net_rates_comprehensive_3d_sr.md,yes,results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,"C-C3D-06,C-C3D-08",yes,,,,,yes
C-C3D-10,C-C3D,MEASURED,Collection-level net rates for Comprehensive 3D SR Stora ...,results/phase2/adjudication_comprehensive_3d_sr.csv and results/phase2/net_rates_comprehensive_3d_sr.md,yes,results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,C-C3D-09,yes,,,,,yes
C-C3D-11,C-C3D,MEASURED,"Two adjudications in this class are reported both ways, ...",results/phase2/adjudication_comprehensive_3d_sr.csv and results/phase2/net_rates_comprehensive_3d_sr.md,yes,,"C-C3D-01,C-C3D-05,C-C3D-09,C-C3D-10",yes,,,,,yes
C-C3D-12,C-C3D,DERIVED,"PRE-05 outcome for Comprehensive 3D SR Storage, and the ...",results/phase2/adjudication_comprehensive_3d_sr.csv and results/phase2/net_rates_comprehensive_3d_sr.md,yes,results/manuscript/results.md;results/phase2/net_rates_comprehensive_3d_sr.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,"C-C3D-09,C-C3D-10,C-C3D-11,PRE-05",yes,,,,,yes
P3-01,P3,MEASURED,Among sampled Segmentation segments declaring SegmentAlg ...,results/phase3/seg_identification_segments_by_stratum.csv,yes,results/cp/README.md;results/figures/manifest.json;results/manuscript/figures.md;results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/05_figure_legends.md;results/typecheck/type_reverification.csv,"STD-02,PRE-06",yes,,,tests/test_phase3.py::test_object_rollup_keeps_absence_and_incompleteness_apart,yes,yes
P3-02,P3,MEASURED,"Among the same segments, this fraction carries Segmentat ...",results/phase3/seg_missing_type1_children.csv,yes,results/cp/README.md;results/manuscript/absence_claims.csv;results/manuscript/absence_claims.md;results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/typecheck/type_reverification.csv,"STD-01,STD-02,PRE-06",yes,,,tests/test_phase3.py::test_sequence_missing_a_type1_child_reads_as_incomplete,yes,yes
P3-03,P3,MEASURED,A third state exists and is reported separately from bot ...,results/phase3/seg_identification_segments_by_stratum.csv,yes,,,,,,tests/test_phase3.py::test_zero_item_sequence_is_its_own_state,yes,yes
P3-04,P3,MEASURED,"The object-level reading of the same question, reported ...",results/phase3/seg_identification_objects_by_stratum.csv,yes,,"P3-01,P3-02",yes,,,,,yes
P3-05,P3,MEASURED,"SegmentAlgorithmName (0062,0009) is Type 1C, required wh ...",results/phase3/seg_identification_segments_by_stratum.csv,yes,results/cp/README.md;results/figures/manifest.json;results/manuscript/absence_claims.csv;results/manuscript/absence_claims.md;results/manuscript/figures.md;results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/05_figure_legends.md;results/typecheck/type_reverification.csv,STD-03,yes,,,,,yes
P3-06,P3,MEASURED,The full provenance carrier list on sampled Segmentation ...,results/phase3/seg_carriers_by_stratum.csv,yes,results/typecheck/type_reverification.csv,STD-04,yes,,,tests/test_phase3.py::test_state_separates_absent_from_zero_length,yes,yes
P3-07,P3,MEASURED,dciodvfy and dicom-validator message classes over the sa ...,results/phase3/seg_message_classes.csv,yes,,"F1-01,PRE-03",yes,,,tests/test_phase3.py::test_severity_matches_both_documented_forms,yes,yes
P3-08,P3,DERIVED,The population estimate for the absence and incompletene ...,results/phase3/seg_totals.json,yes,,"P3-01,P3-02,PRE-06",yes,,,,,yes
P3-12,P3,MEASURED,The frame's writer label is provisional and the object c ...,results/phase3/seg_writer_relabel.csv,yes,results/manuscript/absence_claims.csv;results/manuscript/absence_claims.md;results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,"W-01,PRE-06",yes,,,tests/test_phase3.py::test_writer_relabel_reuses_the_phase0_rule_table,yes,yes
P3-11,P3,MEASURED,"SegmentAlgorithmType (0062,0008) is Type 1 with Enumerat ...",results/phase3/seg_out_of_enumeration.csv,yes,results/typecheck/type_reverification.csv,STD-03,yes,,,,,yes
P3-10,P3,MEASURED,A complete Algorithm Identification Macro is not the sam ...,results/phase3/seg_macro_content.csv,yes,results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,P3-02,yes,,,,,yes
P3-09,P3,MEASURED,Two of the three conformance tools in this class's panel ...,results/phase3_segmentation.md,yes,results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,"V-04,V-08",yes,,,tests/test_phase3.py::test_dcmpschk_is_not_used_on_segmentation,yes,yes
C3T-00,C3T,MEASURED,Claim 3 is graded in three ways and never two: non-confo ...,results/claim3/grades_by_sop_class.csv,yes,results/figures/manifest.json;results/manuscript/figures.md;results/manuscript/results.md;results/manuscript/tables.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md;results/submission/05_figure_legends.md,"STD-04,STD-05",yes,,,tests/test_claim3.py::test_grades_are_exhaustive_and_mutually_exclusive,yes,yes
C3T-01,C3T,MEASURED,"T3.1. Carrier population across the tabulation, in three ...",results/claim3/t31_carriers_by_sop_class.csv,yes,results/manuscript/tables.md;results/submission/04_tables.md,STD-04,yes,,,tests/test_claim3.py::test_three_states_never_summed,yes,yes
C3T-08,C3T,MEASURED,Type 1 carrier violations found by the three-state captu ...,results/claim3/t31_type1_validator_corroboration.csv,yes,results/manuscript/absence_claims.csv;results/manuscript/absence_claims.md;results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/typecheck/type_reverification.csv,"STD-04,P3-06",yes,,,tests/test_claim3.py::test_type1_violations_are_corroborated,yes,yes
C3T-02,C3T,MEASURED,"T3.2. What the equipment attributes name, not whether th ...",results/claim3/t32_naming_by_sop_class.csv,yes,results/figures/manifest.json;results/manuscript/discussion.md;results/manuscript/figures.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/05_figure_legends.md,"C3-04,W-04",yes,,,tests/test_claim3.py::test_buckets_are_exhaustive,yes,yes
C3T-03,C3T,MEASURED,"T3.3. The recoverability ladder. Per analysis result, th ...",results/claim3/t33_recoverability_ladder.csv,yes,results/figures/manifest.json;results/manuscript/figures.md;results/manuscript/results.md;results/manuscript/tables.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md;results/submission/05_figure_legends.md,C3-14,yes,,,tests/test_claim3.py::test_ladder_levels_are_the_registered_five,yes,yes
C3T-04,C3T,MEASURED,T3.4. The algorithm identification result stratified by ...,results/claim3/t34_algorithm_identification_by_writer.csv,yes,,"P3-01,P3-02,STD-02",yes,,,tests/test_claim3.py::test_absence_and_incompleteness_stay_apart,yes,yes
C3T-05,C3T,MEASURED,T3.4 special row. Segments carrying a complete and confo ...,results/claim3/t34_complete_macro_naming_manual.csv,yes,results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,P3-10,yes,,,,,yes
C3T-06,C3T,MEASURED,T3.5. Version carriers. The dcmqi SoftwareVersions value ...,results/claim3/t35_version_carriers.csv,yes,results/figures/manifest.json;results/manuscript/figures.md;results/manuscript/results.md;results/manuscript/tables.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md;results/submission/05_figure_legends.md;results/typecheck/type_reverification.csv,"P2P-09,W-04",yes,,,,,yes
C3T-07,C3T,MEASURED,T3.6. The archive catalogue and the object disagree abou ...,results/claim3/t36_writer_index_vs_object_by_sop_class.csv,yes,results/manuscript/discussion.md;results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,"P3-12,W-01",yes,,,tests/test_claim3.py::test_writer_rule_table_is_imported_not_restated,yes,yes
ADJ2-01,ADJ2,MEASURED,PRE-03 registers two adjudicators. A second pass was run ...,ADJUDICATION2.md,yes,results/figures/manifest.json;results/manuscript/figures.md;results/manuscript/methods.md;results/manuscript/tables.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md;results/submission/05_figure_legends.md,PRE-03,yes,,,tests/test_adjudicate2.py::test_agreement_is_reported_both_ways,yes,yes
ADJ2-02,ADJ2,MEASURED,The only adjudication decision that reaches a published ...,ADJUDICATION2.md,yes,results/figures/manifest.json;results/manuscript/figures.md;results/manuscript/methods.md;results/manuscript/results.md;results/manuscript/tables.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md;results/submission/05_figure_legends.md,ADJ2-01,yes,,,tests/test_adjudicate2.py::test_consensus_only_keeps_agreements,yes,yes
ADJ2-03,ADJ2,MEASURED,"Net rates recomputed under the consensus rule, where a c ...",results/adjudication2/net_rates_two_pass.csv,yes,results/manuscript/results.md;results/manuscript/tables.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md,"ADJ2-01,PRE-03,PRE-05",yes,,,tests/test_adjudicate2.py::test_consensus_never_exceeds_either_pass,yes,yes
DEV-01,DEV,MEASURED,The dicom3tools pin registered for this study was never ...,DEVIATIONS.md,yes,results/manuscript/absence_claims.csv;results/manuscript/absence_claims.md;results/manuscript/methods.md;results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,"F1-08,B-11",yes,,,tests/test_deviations.py::test_pin_exposure_is_measured,yes,yes
DEV-02,DEV,MEASURED,The highdicom pin registered for this study was never sa ...,DEVIATIONS.md,yes,results/figures/manifest.json;results/manuscript/absence_claims.csv;results/manuscript/absence_claims.md;results/manuscript/figures.md;results/manuscript/methods.md;results/manuscript/results.md;results/manuscript/tables.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md;results/submission/05_figure_legends.md,F1-08,yes,,,tests/test_deviations.py::test_highdicom_is_not_in_the_measurement_path,yes,yes
C3T-09,C3T,MEASURED,The informativeness grade is sensitive to the rule that ...,results/claim3/grades_by_sop_class.csv and results/ai_use.md,yes,results/manuscript/methods.md;results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,C3T-00,yes,,,,,yes
