id,section,section_title,claim,status,status_note,value,sop_class,n,denominator,floor,dropped,validator,validator_version,command,source_file,derived_from,external_source,pinned_by_test,supersedes,superseded_by,retired_reason,idc_index_version,date,verified_on,hardware,notes
B-08,B1,Phase 1 variant ladder,"SEG FRACTIONAL and Parametric Map carry no between-writer Jaccard at any rung of the ladder, because dcmqi could not emit them.",MEASURED,,"highdicom-only at all 9 rungs plus baseline and control; the ladder is run on them so the single-writer floor is known under perturbation, but no cell is a comparison","SEG FRACTIONAL, Parametric Map",2,4,this section measures the floor under perturbation; it does not quote a rate against one,"nothing sampled: 60 objects built or reused, every one run through both validators. Cells where a variant does not apply are flagged NOT_APPLICABLE with a reason and are not counted as measured zeros","dciodvfy, dicom-validator","dicom3tools snapshot 20260701065818; dicom-validator 0.8.2, edition 2026c",python -m colophon.variants,results/phase1_variants.csv,F1-04,,tests/test_variants.py::test_single_writer_classes_carry_no_jaccard,,,,v24,2026-08-02T07:34:37Z,2026-08-02,,
B-09,B1,Phase 1 variant ladder,"The TID 1500 SR cell cannot test the direction of the finding, because the two writers' sets are already equal at baseline under both validators.",MEASURED,"An equal pair cannot become more equal, so a variant that leaves it equal is not evidence either way. The SR rungs are reported for completeness and excluded from the flip test.","TID 1500 SR baseline: dciodvfy Jaccard 1.0000 from empty sets on both writers, dicom-validator Jaccard 1.0000 from one identical class on each",TID 1500 SR,,,this section measures the floor under perturbation; it does not quote a rate against one,"nothing sampled: 60 objects built or reused, every one run through both validators. Cells where a variant does not apply are flagged NOT_APPLICABLE with a reason and are not counted as measured zeros","dciodvfy, dicom-validator","dicom3tools snapshot 20260701065818; dicom-validator 0.8.2, edition 2026c",python -m colophon.variants,results/phase1_variants.csv,F1-05,,tests/test_variants.py::test_sr_baseline_is_degenerate_for_the_flip_test,,,,v24,2026-08-02T07:34:37Z,2026-08-02,,
B-10,B1,Phase 1 variant ladder,"The writer-specific residue is the stable quantity in the ladder: the number of message classes held by exactly one writer on SEG BINARY does not change under perturbation, under either validator, except where the transfer syntax defeats the reader.",MEASURED,"Per rung, dciodvfy: V1 1; V2 1; V3 1; V4 1; V5 1; V6 1; V7 1; V8 1; V9 2. Per rung, dicom-validator: V1 1; V2 1; V3 1; V4 1; V5 1; V6 1; V7 1; V8 1; V9 1. The one departure is V9, where the pinned dciodvfy build does not read the deflated stream and both writers acquire a read-failure class of their own; see B-05.","SEG BINARY classes held by one writer only: dciodvfy baseline 1, ladder values 1, 2; dicom-validator baseline 1, ladder constant at 1","Segmentation Storage, BINARY",1,1,this section measures the floor under perturbation; it does not quote a rate against one,"nothing sampled: 60 objects built or reused, every one run through both validators. Cells where a variant does not apply are flagged NOT_APPLICABLE with a reason and are not counted as measured zeros","dciodvfy, dicom-validator","dicom3tools snapshot 20260701065818; dicom-validator 0.8.2, edition 2026c",python -m colophon.variants,results/phase1_variants.csv,"B-02, B-03",,tests/test_variants.py::test_residue_is_stable_under_perturbation,,,,v24,2026-08-02T07:34:37Z,2026-08-02,,
B-11,B1,Phase 1 variant ladder,"The ladder inherits the two unsatisfied tool pins from Phase 1, so its numbers carry the same deviation.",PENDING,"The ladder perturbs objects emitted by the unsatisfied highdicom build and scores them with the unsatisfied dciodvfy build. Neither substitution is silent and neither is treated as satisfying the pin. Nothing in the ladder emits LABELMAP or TILED_FULL, which are where the two dicom3tools builds are known to differ, but the pin must be closed before any corpus stratum is scored against these numbers.","registered dicom3tools 1.00~20240118131615-1, present snapshot 20260701065818; registered highdicom 0.28.0, present 0.28.1",all four classes in the ladder,,,,"nothing sampled: 60 objects built or reused, every one run through both validators. Cells where a variant does not apply are flagged NOT_APPLICABLE with a reason and are not counted as measured zeros","dciodvfy, dicom-validator","dicom3tools snapshot 20260701065818; dicom-validator 0.8.2, edition 2026c",python -m colophon.variants,results/phase1_variants.csv,F1-08,,,,,,v24,2026-08-02T07:34:37Z,2026-08-02,,
C-CSR-01,C-CSR,"Track C, Comprehensive SR Storage adjudication","Referenced Frame Number (0008,1160) present in an SR IMAGE Content Item whose Referenced SOP Class is not multi-frame is a genuine conformance defect, not a validator artefact.",VERIFIED,"The macro reaches these objects through Table C.17-4 SR Document Content Module and Table C.17-5 Document Content Macro, whose row reads: Include Table C.18.4-1 Image Reference Macro Attributes if and only if Value Type (0040,A040) is IMAGE. Two residuals recorded and not resolved: the condition is written on the Referenced SOP Instance while dciodvfy evaluates it from the Referenced SOP Class UID, and no PS3.16 template text permitting the attribute for a single-frame reference was found.","PS3.3 Table C.18.4-1 makes (0008,1160) Type 1C, condition verbatim: Required if the Referenced SOP Instance is a Multi-frame Image and the reference does not apply to all Frames, and Referenced Segment Number (0062,000B) is not present. PS3.5 Section 7.4.2 verbatim: When the specified conditions are not met, Type 1C Data Elements shall not be included in the Data Set unless it is specified that they may be present otherwise. Table C.18.4-1 states no such allowance for this attribute.",Comprehensive SR Storage,722,2118,"not applicable, this row is the citation rather than a rate",,dciodvfy,"dicom3tools snapshot 20260701065818, sha256 d931cded1048a2fd",,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,,"DICOM PS3 2026c, dicom.nema.org",,,,,v24,2026-08-02T07:34:37Z,2026-08-02,,"The locator supplied to this track, PS3.3 C.17.3 and Table C.17-3, is wrong for the pinned edition. The SR Document Content Module is Table C.17-4 and Table C.17-3 is the Hierarchical SOP Instance Reference Macro."
C-CSR-02,C-CSR,"Track C, Comprehensive SR Storage adjudication",dicom-validator does not independently confirm the Referenced Frame Number defect. Its message on those objects is a modelling artefact and is adjudicated FLOOR.,VERIFIED,"Demonstrated by the same validator flagging the nested Referenced SOP Sequence, a Type 3 row of Table C.18.4-1, as unexpected on 826 objects. No condition exists on a Type 3 attribute that could have failed.","dicom-validator 0.8.2 emits is unexpected for ErrorCode.TagUnexpected, documented in its own source as Tag is not in any allowed module. A failed condition is ErrorCode.TagNotAllowed and renders as is not allowed by condition. Its parsed 2026c model of Table C.18.4-1 holds (0008,1160), (0062,000B), the nested (0008,1199), (0008,114B) and (0088,0200) as siblings of the included Referenced SOP Sequence rather than as its children, so inside that Sequence it expects only Table 10-11.",Comprehensive SR Storage,722,2118,"not applicable, this row characterises an instrument",,dicom-validator,"dicom-validator 0.8.2, edition 2026c",,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,,"DICOM PS3 2026c, dicom.nema.org",,,,,v24,2026-08-02T07:34:37Z,2026-08-02,,"Consequence for the manuscript: the Referenced Frame Number finding must be reported as a single-tool finding with a citation, not as two independent tools agreeing."
C-CSR-03,C-CSR,"Track C, Comprehensive SR Storage adjudication","Coding Scheme Designator SRT is a deprecation notice with no requirement behind it, and is adjudicated FLOOR.",VERIFIED,"Emitted at Warning severity on 2,118 of 2,118 objects, so it affects no error triple. No prohibition on a stored object was found in PS3.3 Section 8.2, PS3.16 Section 8 or PS3.16 Section 8.1, and PS3.16 Annex O exists so receivers can map the legacy codes.","PS3.16 Table 8-1 still lists SRT in the pinned edition. Its Note verbatim: This Coding Scheme is deprecated. The use of SNOMED-RT style Code Values is no longer authorized by SNOMED except for creation by legacy devices, legacy objects in archives, and receiving systems that need to understand them. PS3.16 Section 8.1 verbatim: It is the responsibility of such Application Entities to convert any alphanumeric SnomedID with Coding Scheme Designator SRT used in old DICOM objects and services to the corresponding numeric ConceptID code.",Comprehensive SR Storage,2118,2118,"not applicable, this row is the citation rather than a rate",,dciodvfy,"dicom3tools snapshot 20260701065818, sha256 d931cded1048a2fd",,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,,"DICOM PS3 2026c, dicom.nema.org",,,,,v24,2026-08-02T07:34:37Z,2026-08-02,,
C-CSR-04,C-CSR,"Track C, Comprehensive SR Storage adjudication",Referenced SOP Instances that appear in the SR Content Tree but in neither evidence Sequence violate a stated requirement.,VERIFIED,"Two dciodvfy message classes, one naming an image reference and one naming a presentation state reached from an IMAGE Content Item, both on the same 462 objects of the unlabelled group. The third quoted sentence covers the presentation state limb explicitly.","PS3.3 Section C.17.2.3 verbatim: This shall include, but is not limited to, all current evidence referenced in the Content Tree. And: the set of Composite SOP Instances is defined to include not only the images and waveforms referenced in the Content Tree, but also all presentation states, Real World Value maps and other accompanying Composite Instances that are referenced from the Content Items. Current Requested Procedure Evidence Sequence (0040,A375) is Type 1C in Table C.17-2.",Comprehensive SR Storage,462,2118,"not applicable, this row is the citation rather than a rate",,dciodvfy,"dicom3tools snapshot 20260701065818, sha256 d931cded1048a2fd",,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,,"DICOM PS3 2026c, dicom.nema.org",,,,,v24,2026-08-02T07:34:37Z,2026-08-02,,
C-CSR-05,C-CSR,"Track C, Comprehensive SR Storage adjudication","dciodvfy error triple for Comprehensive SR Storage, after adjudication.",MEASURED,"other counts objects with no NET class but at least one UNDECIDABLE class, so they are neither floor nor net and are not folded into either.","gross 723 of 2,118 objects (34.14 percent), floor 0 (0.00 percent), net 723 (34.14 percent), other 0",Comprehensive SR Storage,723,2118,"0 objects (0.00 percent) carry only FLOOR, NOT-IOD or PLAUSIBILITY error classes","nothing: census of all 2,118 objects in the IDC v24 manifest for this SOP class, every distinct message class adjudicated, none skipped",dciodvfy,"dicom3tools snapshot 20260701065818, sha256 d931cded1048a2fd",python -m colophon.adjudicate_csr,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,"C-CSR-01,C-CSR-04",,,,,,v24,2026-08-02T07:34:37Z,,,
C-CSR-06,C-CSR,"Track C, Comprehensive SR Storage adjudication","dicom-validator error triple for Comprehensive SR Storage, after adjudication.",MEASURED,"Nearly the whole gross is floor, and it is one modelling gap: the flattening of the four nested rows of Table C.18.4-1. The residual net is the DS length overflow, which is cited to PS3.5 rather than PS3.3 and is reported demoted as well.","gross 826 of 2,118 objects (39.00 percent), floor 594 (28.05 percent), net 232 (10.95 percent), other 0",Comprehensive SR Storage,232,2118,"594 objects (28.05 percent) carry only FLOOR, NOT-IOD or PLAUSIBILITY error classes","nothing: census of all 2,118 objects in the IDC v24 manifest for this SOP class, every distinct message class adjudicated, none skipped",dicom-validator,"dicom-validator 0.8.2, edition 2026c",python -m colophon.adjudicate_csr,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,C-CSR-02,,,,,,v24,2026-08-02T07:34:37Z,,,
C-CSR-07,C-CSR,"Track C, Comprehensive SR Storage adjudication","dciodvfy warning triple for Comprehensive SR Storage, after adjudication.",MEASURED,"No warning class in this SOP class is adjudicated NET. The 100 percent gross warning rate reported in the Phase 2 census is entirely SRT, DICOMDIR and Retired Person Name form, plus one UNDECIDABLE coding scheme designator class.","gross 2,118 of 2,118 objects (100.00 percent), floor 1,656 (78.19 percent), net 0 (0.00 percent), other 462",Comprehensive SR Storage,0,2118,"1,656 objects (78.19 percent) carry only FLOOR, NOT-IOD or PLAUSIBILITY warning classes","nothing: census of all 2,118 objects in the IDC v24 manifest for this SOP class, every distinct message class adjudicated, none skipped",dciodvfy,"dicom3tools snapshot 20260701065818, sha256 d931cded1048a2fd",python -m colophon.adjudicate_csr,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,C-CSR-03,,,,,,v24,2026-08-02T07:34:37Z,,,
C-CSR-08,C-CSR,"Track C, Comprehensive SR Storage adjudication","Net rate across both validators for Comprehensive SR Storage, by analysis result.",MEASURED,"Aggregated by analysis result, not ranked. The three groups have different producers and the differences are reported as structure in the data, not as a league table.","NULL 462 of 462 (100.00 percent); dicom_sr_breast_clinical 1 of 1,292 (0.08 percent); qiba_volct_1b 260 of 364 (71.43 percent); all 723 of 2,118 (34.14 percent)",Comprehensive SR Storage,723,2118,"reported per validator in C-CSR-05, C-CSR-06 and C-CSR-07; no single scalar floor is quoted for the union","nothing: census of all 2,118 objects in the IDC v24 manifest for this SOP class, every distinct message class adjudicated, none skipped",dciodvfy and dicom-validator,"dicom3tools snapshot 20260701065818; dicom-validator 0.8.2, edition 2026c",python -m colophon.adjudicate_csr,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,"C-CSR-05,C-CSR-06",,,,,,v24,2026-08-02T07:34:37Z,,,
C-CSR-09,C-CSR,"Track C, Comprehensive SR Storage adjudication","Collection-level net rates for Comprehensive SR Storage, and their median.",MEASURED,"Collection is read from _cache/census/records.jsonl, which was opened read only. Objects and series are one to one in this class, so the object rate and the series rate coincide.",median 0.12 percent across 7 collections: breast_diagnosis 0.00 percent (0 of 94); breast_mri_nact_pilot 0.00 percent (0 of 189); ispy1 0.12 percent (1 of 845); qiba_ct_1c 100.00 percent (462 of 462); rider_lung_ct 71.43 percent (160 of 224); rider_pilot 71.43 percent (100 of 140); tcga_brca 0.00 percent (0 of 164),Comprehensive SR Storage,723,2118,"reported per validator in C-CSR-05, C-CSR-06 and C-CSR-07","nothing: census of all 2,118 objects in the IDC v24 manifest for this SOP class, every distinct message class adjudicated, none skipped",dciodvfy and dicom-validator,"dicom3tools snapshot 20260701065818; dicom-validator 0.8.2, edition 2026c",python -m colophon.adjudicate_csr,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,C-CSR-08,,,,,,v24,2026-08-02T07:34:37Z,,,
C-CSR-10,C-CSR,"Track C, Comprehensive SR Storage adjudication","Three NET rules in this class cite PS3.5 or PS3.6 rather than PS3.3, PS3.4 or PS3.16, so every triple is also reported with them demoted to UNDECIDABLE.",MEASURED,"The three rules are the DS 16 byte maximum in PS3.5 Table 6.2-1, dciodvfy's roll-up of it, and the Study Description VM 1 in PS3.6 Table 6-1. Both numbers are published so a reader applying the rubric's citation scope strictly does not have to recompute.","as adjudicated, net 723 of 2,118 (34.14 percent); with the off-part classes demoted, net 722 of 2,118 (34.09 percent). Collection-level median 0.12 percent as adjudicated, 0.00 percent demoted.",Comprehensive SR Storage,722,2118,see C-CSR-05 and C-CSR-06,"nothing: census of all 2,118 objects in the IDC v24 manifest for this SOP class, every distinct message class adjudicated, none skipped",dciodvfy and dicom-validator,"dicom3tools snapshot 20260701065818; dicom-validator 0.8.2, edition 2026c",python -m colophon.adjudicate_csr,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,"C-CSR-05,C-CSR-06,C-CSR-08",,,,,,v24,2026-08-02T07:34:37Z,,,
C-CSR-11,C-CSR,"Track C, Comprehensive SR Storage adjudication","PRE-01 is not recorded as a wrong prediction on the evidence of this SOP class, and is not confirmed by it either.",DERIVED,"Written so the absence of a wrong-prediction row is a recorded decision rather than an omission. The class-level rate on its own sits in PRE-05's substantial band, above 20 percent; the collection-level median does not, because the net objects sit in three of seven collections and the four collections holding dicom_sr_breast_clinical, 1,292 of 2,118 objects, carry one net object between them.","Comprehensive SR Storage does not clear PRE-05 under the conjunction: net error-class rate 34.14 percent, above 5.0 percent, but collection-level median net rate 0.12 percent, at or below 5.0 percent. The gate requires both.",Comprehensive SR Storage,723,2118,see C-CSR-05 and C-CSR-06,"nothing: census of all 2,118 objects in the IDC v24 manifest for this SOP class, every distinct message class adjudicated, none skipped",dciodvfy and dicom-validator,"dicom3tools snapshot 20260701065818; dicom-validator 0.8.2, edition 2026c",python -m colophon.adjudicate_csr,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,"C-CSR-08,C-CSR-09,PRE-05",,,,,,v24,2026-08-02T07:34:37Z,,,This is not a null result for the class either. Two of the three producer groups fail a Type 1C condition at 71.43 and 100.00 percent. PRE-01's SR limb survives only because the third group is clean and is the largest. Evidence: results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md.
C-GSPS-01,P2A,"Phase 2 adjudication, net rates by SOP class","Adjudicated against the DICOM standard, every Error-severity finding dciodvfy raises on the complete Grayscale Softcopy Presentation State class is floor or plausibility. The net Error-class rate is zero.",MEASURED,"Adjudication is by attaching PS3.3, PS3.4 and PS3.5 text to each distinct message class, never by our own reading of the object. No class was adjudicated NET without a section and a table, and none was left UNDECIDABLE. One class, the DisplayedArea ordering check carrying 135 of the 136 distinct Error classes, is recorded as contested and its counterfactual is reported in the source file.","dciodvfy Error severity: gross 513 of 1,086 objects, 47.24 percent; floor 513, 47.24 percent; net 0, 0.00 percent; undecidable 0. 136 distinct Error message classes: 1 FLOOR, 135 PLAUSIBILITY.",Grayscale Softcopy Presentation State Storage,513,"1,086","the entire gross Error rate is floor: 1 class FLOOR (Laterality 2C, 462 objects) and 135 classes PLAUSIBILITY (DisplayedArea ordering, 152 objects). Nothing is subtracted from a smaller number, the gross rate is 47.24 percent and the net rate is 0.00 percent.","nothing within scope. All 1,086 objects and all 172 distinct dciodvfy message classes are adjudicated. Every dcmpschk row is excluded, because the census filter recorded dcmpschk's own success line 'W: Test passed.' as a warning class on all 1,086 objects (ledger P2C-04) and a separate track is re-running it.",dciodvfy,"dicom3tools 1.00, snapshot 20260701065818, no version flag, pinned by sha256 d931cded1048a2fdf6823bb534c722bb31513a8466107f0cf5d7037a9061f69a",python -m colophon.adjudicate_gsps,results/phase2/net_rates_gsps.md,P2C-02,PS3.3 2026c C.7.3.1 Table C.7-5a; PS3.3 2026c C.10.4 Table C.10-4; PS3.5 2026c 7.4.1 and 7.4.4,,,,,v24,2026-08-02T07:34:37Z,2026-08-02,,"Per-class rows with citation, section, table and verbatim quote are in results/phase2/adjudication_gsps.csv, one row per (validator, message_class_id)."
C-GSPS-02,P2A,"Phase 2 adjudication, net rates by SOP class",Every Warning-severity finding dciodvfy raises on the complete Grayscale Softcopy Presentation State class is media interchange advice or a value-quality heuristic. The net Warning-class rate is zero.,MEASURED,"The two DICOMDIR classes are NOT-IOD by the rubric and by citation: Study ID and Study Time are Type 2 in the module the IOD includes and Type 1 only as keys of the Study Directory Record of the Basic Directory IOD. The 34 Retired Person Name form classes are one finding in substance, split across message classes because the patient name is inside the message text.","dciodvfy Warning severity: gross 1,086 of 1,086 objects, 100.00 percent; floor 1,086, 100.00 percent; net 0, 0.00 percent; undecidable 0. 36 distinct Warning message classes: 2 NOT-IOD, 34 PLAUSIBILITY.",Grayscale Softcopy Presentation State Storage,"1,086","1,086","the entire gross Warning rate is floor: 2 classes NOT-IOD (DICOMDIR Study ID 624 objects, DICOMDIR Study Time 384 objects) and 34 classes PLAUSIBILITY (Retired Person Name form, 1,086 objects). Gross 100.00 percent, net 0.00 percent.","nothing within scope. All 1,086 objects and all 36 distinct dciodvfy Warning classes are adjudicated. Every dcmpschk row is excluded for the reason in ledger P2C-04.",dciodvfy,"dicom3tools 1.00, snapshot 20260701065818, no version flag, pinned by sha256 d931cded1048a2fdf6823bb534c722bb31513a8466107f0cf5d7037a9061f69a",python -m colophon.adjudicate_gsps,results/phase2/net_rates_gsps.md,P2C-02,PS3.3 2026c C.7.2.1 Table C.7-3; PS3.3 2026c F.5.2 Table F.5-2; PS3.5 2026c 6.2 Table 6.2-1; PS3.5 2026c 7.4.3,,,,,v24,2026-08-02T07:34:37Z,2026-08-02,,A warning rate of 100 percent that resolves entirely to media interchange advice and person name formatting is the shape of the result this study exists to report.
C-GSPS-03,P2A,"Phase 2 adjudication, net rates by SOP class","dicom-validator raised no finding of any severity on any of the 1,086 Grayscale Softcopy Presentation State objects, and it recognised the IOD, so the two conformance validators disagree completely on this class.",MEASURED,"Zero findings here is a clean result, not a skipped IOD. The dicom-validator edition 2026c IOD table contains SOP Class UID 1.2.840.10008.5.1.4.1.1.11.1, titled Grayscale Softcopy Presentation State IOD, with 28 modules including General Series and Displayed Area both as usage M. The census records no TOOL_ERROR for any of the 1,086 objects, and the census writes TOOL_ERROR on any exception from the in-process call.","dicom-validator: 0 distinct message classes, gross 0 of 1,086 at every severity, net 0. dciodvfy over the same objects: 172 distinct classes, gross 1,086 at any severity. Disagreement is total, including on Laterality, which dciodvfy raises on 462 objects and dicom-validator raises on none.",Grayscale Softcopy Presentation State Storage,0,"1,086","not applicable, the validator produced no findings, so there is no rate to place a floor under","nothing. All 1,086 objects were passed to the in-process dicom-validator during the census run.",dicom-validator,"dicom-validator 0.8.2, standard edition 2026c, run in process against a standard loaded once from C:\Users\dekay\dicom-validator",python -m colophon.adjudicate_gsps,results/phase2/net_rates_gsps.md,P2C-02,,,,,,v24,2026-08-02T07:34:37Z,2026-08-02,,"The IOD recognition check was run separately against the same loaded edition: EditionReader('C:\\Users\\dekay\\dicom-validator').load_dicom_info('2026c').iods['1.2.840.10008.5.1.4.1.1.11.1']. This is the cross-validator disagreement the study set out to measure, and on this class it is complete rather than partial."
C-GSPS-04,P2A,"Phase 2 adjudication, net rates by SOP class","dciodvfy's Error on a missing Laterality (0020,0060) in the General Series Module is a validator floor, not a conformance defect, because the Type 2C condition cannot be evaluated from the dataset and PS3.5 makes absence mandatory when the condition is not met.",VERIFIED,"Verified against the standard text, not measured. This is the single adjudication that decides the Error-severity result for 462 of the 1,086 objects, so the condition is quoted verbatim in the source file so a reader can check it.","PS3.3 Table C.7-5a, Laterality (0020,0060), Type 2C: ""Laterality of (paired) body part examined. Required if the body part examined is a paired structure and Image Laterality (0020,0062) or Frame Laterality (0020,9072) or Measurement Laterality (0024,0113) are not present."" PS3.5 7.4.4: ""It is a protocol violation if the specified conditions are met and the Data Element is not included. When the specified conditions are not met, Type 2C Data Elements shall not be included in the Data Set unless it is specified that they may be present otherwise."" Verdict FLOOR, 1 message class, 462 objects.",Grayscale Softcopy Presentation State Storage,462,"1,086","this row is a floor determination, so it has no rate of its own. The identical message class id e4c7fa2d56f7 is already in results/floor_set.csv against a known-good Parametric Map built by highdicom, which is the empirical form of the same point.",nothing,dciodvfy,"dicom3tools 1.00, snapshot 20260701065818",python -m colophon.adjudicate_gsps,results/phase2/adjudication_gsps.csv,F1-01,"PS3.3 2026c C.7.3.1 General Series Module, Table C.7-5a; PS3.5 2026c 7.4.4 Type 2C Conditional Data Elements; PS3.3 2026c C.11.9 Table C.11.9-1 Presentation Series Module; PS3.3 2026c A.33.1 Table A.33.1-1",,,,,v24,2026-08-02T07:34:37Z,2026-08-02,,"Three facts carry it. The condition's trigger is whether the body part examined is a paired structure, and Body Part Examined (0018,0015) is Type 3 in the same Table C.7-5a, so a conformant object need not carry it. PS3.3 publishes no normative list of paired body parts, so a present value would still not settle the condition by citation. PS3.5 7.4.4 makes the two readings symmetric, so the same message covers a violation and mandatory compliance. The Presentation Series Module, which PS3.3 A.33.1 names as specialising General Series for this IOD, specialises only Modality (0008,0060) and leaves Laterality at Type 2C. This does not say the objects have no laterality problem. It says the standard's text does not let a third party score one from the dataset."
C-GSPS-05,P2A,"Phase 2 adjudication, net rates by SOP class","dciodvfy's ""Missing attribute or value that would be needed to build DICOMDIR"" warnings are not IOD conformance statements. Study ID and Study Time are Type 2 in the module the IOD includes and Type 1 only as keys of the Basic Directory IOD's Study Directory Record.",VERIFIED,"Verified against the standard text. dciodvfy states the media interchange scope in the message itself. IDC distributes instances, not DICOMDIR sets, so no object in this census is required to satisfy Table F.5-2.","PS3.3 Table C.7-3 General Study Module: Study ID (0020,0010) Type 2, ""User or equipment generated Study identifier.""; Study Time (0008,0030) Type 2, ""Time the Study started."" PS3.3 Table F.5-2 Study Keys gives both as Type 1. Verdict NOT-IOD, 2 message classes, 624 objects for Study ID and 384 for Study Time.",Grayscale Softcopy Presentation State Storage,624,"1,086","this row is a scope determination, so it has no rate of its own",nothing,dciodvfy,"dicom3tools 1.00, snapshot 20260701065818",python -m colophon.adjudicate_gsps,results/phase2/adjudication_gsps.csv,,"PS3.3 2026c C.7.2.1 General Study Module, Table C.7-3; PS3.3 2026c F.5.2 Study Directory Record Definition, Table F.5-2; PS3.5 2026c 7.4.3 Type 2 Required Data Elements",,,,,v24,2026-08-02T07:34:37Z,2026-08-02,,"dciodvfy raised no Type 2 message against Study ID or Study Time on any of these objects, which is consistent with the attributes being present and zero length, which PS3.5 7.4.3 permits for Type 2. The same message class appears on Comprehensive SR, Key Object Selection and Real World Value Mapping objects in the same census, so this determination is reusable by the sibling tracks."
C-GSPS-06,P2A,"Phase 2 adjudication, net rates by SOP class","dciodvfy's ""Value dubious for this VR, Retired Person Name form"" warning has no conformance requirement behind it. PS3.5 explicitly permits a PN value with a single component and no delimiter.",VERIFIED,"Verified against the standard text. Recorded as PLAUSIBILITY rather than FLOOR because the complaint is about the shape of a value rather than about a construct the IOD tables permit, and the rubric names this message as the canonical plausibility case.","PS3.5 Table 6.2-1, PN: ""Any of the five components may be an empty string. The component delimiter shall be the caret \""^\"" character (5EH). There shall be no more than four component delimiters, i.e., none after the last component if all components are present. Delimiters are required for interior null components. Trailing null components and their delimiters may be omitted."" Verdict PLAUSIBILITY, 34 message classes, 1,086 objects.",Grayscale Softcopy Presentation State Storage,"1,086","1,086","this row is a plausibility determination, so it has no rate of its own",nothing,dciodvfy,"dicom3tools 1.00, snapshot 20260701065818",python -m colophon.adjudicate_gsps,results/phase2/adjudication_gsps.csv,,"PS3.5 2026c 6.2 Value Representation, Table 6.2-1, row PN Person Name",,,,,v24,2026-08-02T07:34:37Z,2026-08-02,,"34 distinct message classes for one finding, because the patient name is inside the message text and the census keys a class on the normalised text. Every one of the 34 has its own row in results/phase2/adjudication_gsps.csv. None is skipped. The values are collection and case identifiers such as QIBA_CT_1C and UID rather than person names, which is a de-identification artefact and not a conformance question."
C-GSPS-07,P2A,"Phase 2 adjudication, net rates by SOP class","dciodvfy's DisplayedAreaSelectionSequence ordering check has no located requirement behind it in PS3.3 or PS3.4, so it is recorded as plausibility. This adjudication is contested and it decides the PRE-05 outcome for this class, so both readings are reported.",VERIFIED,"CONTESTED. PS3.3 C.10.4 and Table C.10-4 were read in full and PS3.4 Annex N was checked. Neither states an ordering relation between the two corners, neither uses shall for one, and neither forbids a region one column or one row wide. NET is refused because the rubric requires a section and table giving the Type or condition violated and no such text was located. FLOOR is refused because nothing cited positively permits a degenerate region either. The counterfactual is reported rather than suppressed.","PS3.3 Table C.10-4: Displayed Area Top Left Hand Corner (0070,0052) and Bottom Right Hand Corner (0070,0053) are both Type 1 and both present with values valid for VR SL and VM 2. Note in C.10.4: ""The TLHC and BRHC may be outside the boundaries of the image pixel data (e.g., the TLHC may be 0 or negative, or the BRHC may be greater than Rows or Columns), allowing minification or placement of the image pixel data within a larger Specified Displayed Area."" Verdict PLAUSIBILITY, 135 message classes, 152 objects. Counterfactual if read as NET: Error gross 513, floor 361, net 152, class net rate 14.00 percent, collection-level median net rate 10.68 percent.",Grayscale Softcopy Presentation State Storage,152,"1,086",under the recorded verdict this class is part of the floor and the class net Error rate is 0.00 percent. Under the counterfactual the class net Error rate is 14.00 percent and the Error floor drops from 513 to 361 objects.,nothing,dciodvfy,"dicom3tools 1.00, snapshot 20260701065818",python -m colophon.adjudicate_gsps,results/phase2/net_rates_gsps.md,,"PS3.3 2026c C.10.4 Displayed Area Module, Table C.10-4; PS3.4 2026c Annex N Softcopy Presentation State Storage SOP Classes; PS3.5 2026c 7.4.1 Type 1 Required Data Elements",,,,,v24,2026-08-02T07:34:37Z,2026-08-02,,"In every observed message one axis is equal rather than inverted, for example TopLeft = (344,0) against BottomRight = (344,512), so dciodvfy applies a strict inequality on both axes that the standard does not state. A reader who holds that the words top left and bottom right in an Attribute Description are themselves normative moves this class to NET, which makes the class rate 14.00 percent and the collection median 10.68 percent, both above 5.0 percent. Under PRE-05's own three-band wording that counterfactual is indeterminate rather than substantial, because it is below 20 percent. This row exists so that reading is on the record and not reachable only by recomputation."
